mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
28.59282250404358,0.09979831493778737,0.008217811584472656,0.0011783956202475025,0.0031034856001686197,5,2,7,153,0.7733551396716398,"{'learning_rate': np.float64(0.0031034856001686197), 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 153, 'subsample': np.float64(0.7733551396716398)}",0.9744356168612256,0.9802435438143281,0.9749443238817415,0.9687628315259769,0.9746353508998025,0.9746043333966149,0.003635075215857496,33,0.9816296500877021,0.9806278988902445,0.9819627643036365,0.9826345030563111,0.9822628612865699,0.9818235355248927,0.0006836956398260919
26.99115777015686,0.06248115376984082,0.008948802947998047,0.00034827459412355925,0.0031543990308330965,3,2,13,261,0.6975751180009072,"{'learning_rate': np.float64(0.0031543990308330965), 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 13, 'n_estimators': 261, 'subsample': np.float64(0.6975751180009072)}",0.9707832720005848,0.9765091511710088,0.9711459889208793,0.9673061865334939,0.9718342668924881,0.9715157731036911,0.0029471742437991726,43,0.9733063307098904,0.9724433319859457,0.9738774414690246,0.9752439799138202,0.974754265118211,0.9739250698393784,0.0010007739238429188
66.50751209259033,0.1875236107176768,0.012888050079345703,0.00053317029502548,0.3169746150096336,7,7,13,289,0.6626651653816322,"{'learning_rate': np.float64(0.3169746150096336), 'max_depth': 7, 'min_samples_leaf': 7, 'min_samples_split': 13, 'n_estimators': 289, 'subsample': np.float64(0.6626651653816322)}",0.9751850136881697,0.9836261870526974,0.9746349443564053,0.965158011222224,0.9756561813703928,0.9748520675379779,0.005861134630461495,31,0.999995706853163,0.9999969262084777,0.9999983745593342,0.9999987555219902,0.9999979428016573,0.9999975411889246,1.1021245353785273e-06
38.38759937286377,0.21985232586614914,0.011896228790283203,0.000342887814843919,0.01119510951143983,3,7,6,379,0.6783766633467947,"{'learning_rate': np.float64(0.01119510951143983), 'max_depth': 3, 'min_samples_leaf': 7, 'min_samples_split': 6, 'n_estimators': 379, 'subsample': np.float64(0.6783766633467947)}",0.9754344064533423,0.9811517559037847,0.9760838650243396,0.9716765280543402,0.975983855348607,0.9760660821568828,0.0030178917923574635,25,0.9817789703072753,0.9806261968734511,0.9822674836334632,0.982870268145391,0.9816099166915944,0.9818305671302351,0.0007448128349252798
55.55304269790649,0.09630388928616226,0.011486244201660157,0.0001963383238017598,0.005731044951044763,5,5,10,256,0.9010984903770198,"{'learning_rate': np.float64(0.005731044951044763), 'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 256, 'subsample': np.float64(0.9010984903770198)}",0.9773633417005825,0.9822951445584448,0.976437151236583,0.9718009303339104,0.9762241224964041,0.976824138065185,0.003345595492869543,20,0.9856988419985803,0.9845472117103633,0.9853926218911605,0.986839619648916,0.985684490080723,0.9856325570659485,0.0007347971473146305
11.987561511993409,0.013846988111985571,0.00681772232055664,0.00024627596435184757,0.0015893148858258127,2,1,13,235,0.5027610585618012,"{'learning_rate': np.float64(0.0015893148858258127), 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 13, 'n_estimators': 235, 'subsample': np.float64(0.5027610585618012)}",0.9621995304592239,0.9675119212991171,0.9608734503582055,0.9589675749117191,0.9618950939155901,0.9622895141887711,0.002845266869111884,50,0.9638648625085432,0.9626501051795573,0.9616644644485395,0.9650675784576084,0.9636833125505507,0.9633860646289598,0.00115331140501672
31.411539602279664,0.11178234394260192,0.0077492713928222655,0.00022798668138083843,0.15882027186184094,2,3,4,388,0.8029799873905057,"{'learning_rate': np.float64(0.15882027186184094), 'max_depth': 2, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 388, 'subsample': np.float64(0.8029799873905057)}",0.977224835295169,0.9823085484041301,0.9797671482037692,0.9715464341672081,0.9773490280767002,0.9776391988293952,0.0035695565949845176,18,0.9959315955894292,0.9953441711665959,0.9960954883405363,0.996178766777151,0.9957113002006556,0.9958522644148736,0.00030002825349602016
32.3968412399292,0.12210905388084779,0.00699763298034668,0.00015893386637678945,0.3162702093821428,3,1,13,234,0.9250192888948996,"{'learning_rate': np.float64(0.3162702093821428), 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 13, 'n_estimators': 234, 'subsample': np.float64(0.9250192888948996)}",0.9744969496096638,0.9778479110309588,0.9753789187734422,0.9707561138028801,0.9734754825873398,0.9743910751608569,0.0023232740892681274,36,0.9999756382969427,0.9999648673249966,0.9999886727103598,0.9999890028779951,0.9999774724082717,0.9999791307237131,9.021092363240668e-06
10.734297704696655,0.06910927059938418,0.005169200897216797,0.00017064711491844236,0.016332545920649342,2,7,8,161,0.6625916610133735,"{'learning_rate': np.float64(0.016332545920649342), 'max_depth': 2, 'min_samples_leaf': 7, 'min_samples_split': 8, 'n_estimators': 161, 'subsample': np.float64(0.6625916610133735)}",0.9678096491441849,0.9739632328451084,0.9688465794658183,0.9645644578621835,0.9689185376471382,0.9688204913928867,0.0030197253771213203,45,0.9712331980458613,0.969770276507108,0.9710383553710071,0.9721592490951756,0.9707808754105318,0.9709963908859367,0.0007693999290229387
63.362687015533446,0.08346450752411808,0.017274999618530275,0.00043531478791034804,0.0931504999849916,7,3,4,326,0.5597971229691509,"{'learning_rate': np.float64(0.0931504999849916), 'max_depth': 7, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 326, 'subsample': np.float64(0.5597971229691509)}",0.9819592360620313,0.9848341578729316,0.982382035335126,0.973410842187171,0.9794451658331171,0.9804062874580755,0.0038931035117792225,6,0.999995706853163,0.9999969262084777,0.9999983745593342,0.9999987555219902,0.9999979428016573,0.9999975411889246,1.1021245353785273e-06
